Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,3624.800048828125,3680.64990234375,3561.0,3670.050048828125,3655.09765625,483671
2022-06-10,3620.5,3715.0,3595.5,3700.5,3685.423583984375,624657
2022-06-13,3649.0,3678.050048828125,3592.0,3651.89990234375,3637.021728515625,523342
2022-06-14,3628.199951171875,3757.85009765625,3622.75,3706.199951171875,3691.1005859375,655865
2022-06-15,3737.949951171875,3756.10009765625,3645.89990234375,3722.699951171875,3707.533447265625,466405
2022-06-16,3745.0,3775.0,3647.0,3663.64990234375,3648.723876953125,678602
2022-06-17,3600.0,3724.0,3556.10009765625,3701.25,3686.170654296875,768620
2022-06-20,3700.0,3825.0,3682.89990234375,3811.699951171875,3796.170654296875,673219
2022-06-21,3849.949951171875,3869.0,3794.050048828125,3808.199951171875,3792.684814453125,596024
2022-06-22,3789.050048828125,3807.75,3713.25,3787.75,3772.318359375,359601
2022-06-23,3761.800048828125,3857.0,3723.14990234375,3850.5,3834.8125,646244
2022-06-24,3902.0,3922.0,3762.0,3838.39990234375,3822.76171875,1024811
2022-06-27,3849.0,3870.0,3775.0,3794.5,3779.040771484375,708737
2022-06-28,3759.050048828125,3846.64990234375,3722.89990234375,3837.35009765625,3821.71630859375,463753
2022-06-29,3767.199951171875,3817.949951171875,3695.0,3713.0,3697.872802734375,567477
2022-06-30,3714.0,3765.5,3656.39990234375,3683.5,3668.492919921875,534241
2022-07-01,3680.0,3745.0,3635.199951171875,3736.14990234375,3720.928466796875,316894
2022-07-04,3732.0,3782.800048828125,3700.050048828125,3770.10009765625,3754.740478515625,300790
2022-07-05,3761.0,3874.75,3761.0,3817.39990234375,3801.847412109375,468762
2022-07-06,3809.10009765625,3889.550048828125,3783.5,3883.5,3867.67822265625,390568
2022-07-07,3894.050048828125,3930.0,3868.25,3915.25,3899.298828125,398354
2022-07-08,3918.0,3946.0,3910.0,3936.14990234375,3920.113525390625,268377
2022-07-11,3935.0,3968.14990234375,3895.050048828125,3933.25,3917.225341796875,199806
2022-07-12,3900.0,4098.7001953125,3900.0,3929.699951171875,3913.68994140625,1125104
2022-07-13,3951.14990234375,3958.949951171875,3861.199951171875,3868.300048828125,3852.5400390625,385514
2022-07-14,3927.0,3979.300048828125,3880.050048828125,3898.050048828125,3882.1689453125,656393
2022-07-15,3898.050048828125,3944.0,3875.0,3931.699951171875,3915.681884765625,318645
2022-07-18,3940.10009765625,3970.800048828125,3890.14990234375,3947.10009765625,3931.019287109375,291155
2022-07-19,3944.39990234375,4032.949951171875,3923.39990234375,4020.199951171875,4003.8212890625,412946
2022-07-20,4090.0,4141.7001953125,4030.050048828125,4110.25,4093.50439453125,753440
2022-07-21,4112.0,4169.85009765625,4096.35009765625,4150.0498046875,4133.14208984375,542974
2022-07-22,4150.2001953125,4169.60009765625,4089.949951171875,4125.2998046875,4108.4931640625,378496
2022-07-25,4144.0,4252.89990234375,4138.0498046875,4189.89990234375,4172.82958984375,1127478
2022-07-26,4185.0,4188.9501953125,4088.0,4110.2001953125,4093.45458984375,363638
2022-07-27,4112.0,4136.9501953125,4022.0,4125.60009765625,4108.7919921875,440198
2022-07-28,4149.0,4206.0,4135.0,4190.5,4173.42724609375,364711
2022-07-29,4206.0,4252.7998046875,4187.0,4212.2998046875,4195.13818359375,333278
2022-08-01,4240.0,4293.75,4190.0,4288.10009765625,4270.6298828125,311325
2022-08-02,4311.0,4348.25,4270.9501953125,4325.89990234375,4308.275390625,440869
2022-08-03,4325.9501953125,4386.75,4280.10009765625,4310.0498046875,4292.490234375,367949
2022-08-04,4322.9501953125,4409.0,4310.0,4395.7998046875,4377.890625,358472
2022-08-05,4395.7998046875,4422.0,4335.0,4374.10009765625,4356.279296875,207510
2022-08-08,4388.9501953125,4474.5498046875,4380.0498046875,4427.35009765625,4409.3125,445755
2022-08-10,4438.89990234375,4625.9501953125,4397.10009765625,4517.14990234375,4498.74658203125,867000
2022-08-11,4539.60009765625,4552.5,4418.0,4429.64990234375,4411.60302734375,446510
2022-08-12,4350.0498046875,4394.7998046875,4276.10009765625,4312.75,4295.1796875,1412625
2022-08-16,4350.0,4381.5498046875,4206.89990234375,4349.39990234375,4331.6796875,596342
2022-08-17,4349.0,4370.0498046875,4285.85009765625,4305.75,4288.2080078125,502434
2022-08-18,4315.0,4338.60009765625,4250.0,4266.64990234375,4260.89453125,580509
