,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,50.NS,NIFTY,50.NS,NIFTY,50.NS,NIFTY,50.NS,NIFTY,50.NS,NIFTY,50.NS,NIFTY
Date,,,,,,,,,,,,
