Date,Open,High,Low,Close,Adj Close,Volume,TIC
2017-12-01,120.0,126.0,120.0,122.0,118.4223403930664,2087000,SILVERTUC.NS
2017-12-04,122.0,123.94999694824219,119.9000015258789,121.55000305175781,117.98554229736328,410000,SILVERTUC.NS
2017-12-05,121.25,122.05000305175781,121.0,121.0,117.45166015625,204000,SILVERTUC.NS
2017-12-06,121.0,121.94999694824219,120.9000015258789,121.0,117.45166015625,173000,SILVERTUC.NS
2017-12-07,122.0999984741211,122.0999984741211,121.0,121.0,117.45166015625,72000,SILVERTUC.NS
2017-12-08,122.19999694824219,122.19999694824219,121.0,121.0999984741211,117.54872131347656,64000,SILVERTUC.NS
2017-12-11,121.5,122.0,121.0,121.5,117.93699645996094,58000,SILVERTUC.NS
2017-12-12,121.0,121.69999694824219,121.0,121.0999984741211,117.54872131347656,46000,SILVERTUC.NS
2017-12-13,121.05000305175781,121.5999984741211,121.05000305175781,121.0999984741211,117.54872131347656,38000,SILVERTUC.NS
2017-12-14,121.19999694824219,121.5999984741211,121.05000305175781,121.4000015258789,117.83993530273438,25000,SILVERTUC.NS
2017-12-15,122.0,123.0,121.5,122.9000015258789,119.29595947265625,76000,SILVERTUC.NS
2017-12-18,121.5,128.0,121.0,126.6500015258789,122.93598937988281,117000,SILVERTUC.NS
2017-12-19,127.5,140.25,127.5,133.85000610351562,129.92486572265625,277000,SILVERTUC.NS
2017-12-20,136.89999389648438,136.89999389648438,131.10000610351562,131.8000030517578,127.9349594116211,82000,SILVERTUC.NS
2017-12-21,130.10000610351562,130.10000610351562,128.0,129.60000610351562,125.79947662353516,49000,SILVERTUC.NS
2017-12-22,130.0,132.0,129.0,129.35000610351562,125.55680084228516,100000,SILVERTUC.NS
2017-12-26,129.0,129.0,125.30000305175781,126.80000305175781,123.08158874511719,81000,SILVERTUC.NS
2017-12-27,127.0999984741211,130.0,127.0,129.6999969482422,125.89652252197266,108000,SILVERTUC.NS
2017-12-28,129.89999389648438,129.89999389648438,127.69999694824219,128.25,124.48906707763672,36000,SILVERTUC.NS
2017-12-29,128.0,130.0,126.0999984741211,127.4000015258789,123.66399383544922,38000,SILVERTUC.NS
2018-01-01,130.0,131.0,127.6500015258789,127.6500015258789,123.90664672851562,17000,SILVERTUC.NS
2018-01-02,127.6500015258789,128.3000030517578,126.0,126.0,122.30503845214844,24000,SILVERTUC.NS
2018-01-03,126.0,128.0,125.80000305175781,126.3499984741211,122.64478302001953,39000,SILVERTUC.NS
2018-01-04,125.55000305175781,128.0,125.55000305175781,127.30000305175781,123.56692504882812,24000,SILVERTUC.NS
2018-01-05,128.0,129.9499969482422,127.5,128.39999389648438,124.63465881347656,19000,SILVERTUC.NS
2018-01-08,129.9499969482422,130.0,127.25,127.55000305175781,123.8095932006836,23000,SILVERTUC.NS
2018-01-09,127.0,128.0,126.5,127.0,123.27571868896484,19000,SILVERTUC.NS
2018-01-10,128.0,129.0,126.75,127.3499984741211,123.6154556274414,25000,SILVERTUC.NS
2018-01-11,126.5,127.4000015258789,126.0,126.5,122.7903823852539,7000,SILVERTUC.NS
2018-01-12,129.0,129.0,126.0,127.0,123.27571868896484,25000,SILVERTUC.NS
2018-01-15,126.19999694824219,127.75,126.19999694824219,127.6500015258789,123.90664672851562,18000,SILVERTUC.NS
2018-01-16,126.0,126.0,125.0,125.0,121.33436584472656,102000,SILVERTUC.NS
2018-01-17,125.0,126.25,125.0,125.25,121.5770492553711,16000,SILVERTUC.NS
2018-01-18,126.0,126.0,125.0,125.0,121.33436584472656,63000,SILVERTUC.NS
2018-01-19,124.0,125.25,123.5,125.0999984741211,121.43142700195312,11000,SILVERTUC.NS
